Driver_ID,Driver_Rating,Vehicle_ID,Join_Date,City_Zone
D0001,3.5,V0257,2024-12-19,West
D0002,4.83,V0272,2023-07-21,Central
D0003,4.51,V0053,2025-08-01,West
D0004,4.88,V0118,2024-12-24,West
D0005,4.83,V0182,2024-02-09,Navi Mumbai
D0006,4.71,V0101,2025-03-13,Navi Mumbai
D0007,4.4,V0023,2022-01-10,Navi Mumbai
D0008,3.58,V0232,2025-05-21,North
D0009,4.68,V0272,2025-03-01,Central
D0010,3.81,V0241,2025-09-09,Central
D0011,4.88,V0014,2022-07-22,North
D0012,3.59,V0277,2025-11-28,Navi Mumbai
D0013,4.72,V0054,2022-02-09,West
D0014,3.68,V0182,2022-07-06,North
D0015,3.98,V0051,2022-09-01,North
D0016,4.35,V0030,2021-11-30,Central
D0017,4.2,V0063,2022-04-14,North
D0018,3.51,V0072,2022-07-02,North
D0019,4.49,V0146,2023-07-25,West
D0020,4.09,V0145,2025-04-08,Central
D0021,4.82,V0230,2024-01-18,North
D0022,3.74,V0185,2023-11-01,West
D0023,4.72,V0088,2023-06-15,Navi Mumbai
D0024,3.67,V0200,2022-06-29,Navi Mumbai
D0025,3.6,V0259,2024-05-25,North
D0026,3.61,V0140,2025-05-26,Central
D0027,3.55,V0111,2024-09-16,Navi Mumbai
D0028,4.66,V0278,2023-02-06,Central
D0029,4.97,V0101,2022-08-08,Navi Mumbai
D0030,4.5,V0005,2024-06-28,North
D0031,4.54,V0034,2023-11-04,North
D0032,4.98,V0194,2024-09-17,Navi Mumbai
D0033,4.59,V0086,2023-05-06,Navi Mumbai
D0034,3.56,V0167,2024-07-09,West
D0035,4.79,V0082,2022-12-10,Navi Mumbai
D0036,4.14,V0265,2024-05-14,Navi Mumbai
D0037,4.83,V0150,2023-10-21,West
D0038,4.59,V0090,2023-06-20,North
D0039,3.51,V0015,2022-05-20,Central
D0040,4.73,V0216,2025-08-08,Central
D0041,4.08,V0059,2024-12-17,Central
D0042,3.56,V0040,2023-03-10,Navi Mumbai
D0043,4.04,V0064,2024-12-06,West
D0044,4.7,V0236,2022-01-30,Navi Mumbai
D0045,3.74,V0080,2025-06-12,Central
D0046,4.78,V0241,2023-06-27,North
D0047,3.73,V0041,2024-12-09,North
D0048,3.72,V0227,2021-11-23,Central
D0049,4.35,V0130,2025-04-19,Central
D0050,4.95,V0061,2024-12-05,Central
D0051,4.54,V0203,2025-05-21,Navi Mumbai
D0052,3.93,V0207,2022-06-28,Navi Mumbai
D0053,4.21,V0215,2025-11-02,Central
D0054,4.54,V0219,2022-08-21,Navi Mumbai
D0055,4.11,V0173,2024-04-17,Navi Mumbai
D0056,3.69,V0265,2022-12-05,North
D0057,4.53,V0063,2024-03-14,West
D0058,4.93,V0086,2022-07-09,Central
D0059,4.19,V0187,2023-10-15,North
D0060,4.16,V0041,2022-06-10,North
D0061,4.31,V0235,2022-03-06,West
D0062,3.62,V0105,2024-10-26,North
D0063,4.46,V0206,2023-04-17,Navi Mumbai
D0064,3.91,V0096,2024-11-02,North
D0065,4.42,V0104,2021-11-29,North
D0066,4.11,V0283,2023-04-09,Navi Mumbai
D0067,3.61,V0156,2025-03-15,Navi Mumbai
D0068,4.4,V0250,2024-09-06,West
D0069,4.22,V0164,2023-04-05,North
D0070,3.69,V0200,2022-07-17,Central
D0071,3.89,V0179,2022-03-28,Central
D0072,4.08,V0044,2025-10-06,North
D0073,3.62,V0280,2025-06-17,West
D0074,3.65,V0172,2023-12-26,West
D0075,4.07,V0121,2024-03-06,West
D0076,4.45,V0177,2024-01-26,West
D0077,3.69,V0148,2024-12-28,Central
D0078,4.71,V0216,2024-05-21,Central
D0079,4.31,V0086,2025-04-05,Navi Mumbai
D0080,4.0,V0220,2025-10-19,North
D0081,3.51,V0134,2025-06-05,North
D0082,3.51,V0091,2024-08-29,North
D0083,4.87,V0085,2022-11-13,Navi Mumbai
D0084,3.99,V0258,2025-02-18,Central
D0085,4.61,V0148,2022-01-13,Central
D0086,4.65,V0017,2023-02-17,West
D0087,3.52,V0063,2024-05-26,Central
D0088,3.69,V0017,2023-10-10,North
D0089,3.83,V0017,2024-08-17,West
D0090,3.99,V0169,2022-06-15,Navi Mumbai
D0091,4.74,V0123,2022-11-25,North
D0092,3.93,V0251,2022-03-20,West
D0093,4.81,V0161,2024-03-02,Central
D0094,4.62,V0039,2023-07-02,Navi Mumbai
D0095,4.02,V0025,2024-04-26,North
D0096,4.86,V0043,2023-10-17,Navi Mumbai
D0097,3.92,V0236,2024-09-26,North
D0098,4.61,V0070,2022-02-26,North
D0099,4.41,V0127,2022-11-20,Central
D0100,4.81,V0184,2025-11-04,West
D0101,4.55,V0006,2024-03-24,Navi Mumbai
D0102,3.82,V0240,2025-06-24,North
D0103,4.01,V0254,2023-01-26,Navi Mumbai
