Vehicle_ID,Vehicle_Type,Fuel_Type,Vehicle_Age
V0001,SUV,Petrol,1
V0002,SUV,CNG,4
V0003,Hatchback,Petrol,2
V0004,SUV,Electric,2
V0005,SUV,CNG,1
V0006,Hatchback,Petrol,4
V0007,Hatchback,Electric,1
V0008,SUV,Petrol,7
V0009,Hatchback,CNG,5
V0010,Hatchback,Petrol,7
V0011,Sedan,CNG,3
V0012,Hatchback,CNG,2
V0013,Hatchback,CNG,2
V0014,Sedan,CNG,5
V0015,Hatchback,Electric,8
V0016,SUV,Petrol,7
V0017,Hatchback,Electric,5
V0018,SUV,Electric,6
V0019,SUV,Petrol,2
V0020,Hatchback,Electric,4
V0021,Sedan,Petrol,4
V0022,Hatchback,CNG,5
V0023,Sedan,Electric,6
V0024,Hatchback,CNG,6
V0025,Hatchback,Electric,5
V0026,SUV,Electric,2
V0027,SUV,Electric,3
V0028,SUV,Electric,4
V0029,Hatchback,CNG,7
V0030,Sedan,Electric,4
V0031,SUV,CNG,1
V0032,Hatchback,Petrol,6
V0033,Sedan,CNG,2
V0034,Hatchback,Electric,6
V0035,Hatchback,Electric,8
V0036,Sedan,Electric,8
V0037,Hatchback,CNG,3
V0038,Hatchback,Electric,5
V0039,SUV,Electric,7
V0040,SUV,CNG,6
V0041,Hatchback,Petrol,8
V0042,Hatchback,Petrol,2
V0043,Hatchback,Electric,3
V0044,SUV,CNG,2
V0045,Sedan,CNG,8
V0046,SUV,CNG,1
V0047,SUV,Electric,2
V0048,SUV,Electric,5
V0049,SUV,CNG,2
V0050,Sedan,CNG,3
V0051,Sedan,Petrol,5
V0052,SUV,Petrol,2
V0053,SUV,CNG,4
V0054,Hatchback,CNG,3
V0055,SUV,Electric,1
V0056,SUV,CNG,8
V0057,Hatchback,Petrol,6
V0058,Sedan,Petrol,1
V0059,Hatchback,Electric,2
V0060,Hatchback,Electric,8
V0061,Hatchback,Electric,3
V0062,Hatchback,Electric,8
V0063,SUV,Petrol,5
V0064,SUV,Electric,7
V0065,Hatchback,Electric,4
V0066,SUV,CNG,7
V0067,SUV,Electric,6
V0068,Sedan,Electric,8
V0069,Hatchback,Petrol,4
V0070,Hatchback,CNG,1
V0071,SUV,Electric,4
V0072,SUV,Petrol,1
V0073,Hatchback,Electric,1
V0074,Hatchback,Petrol,1
V0075,Sedan,Petrol,4
V0076,Sedan,Electric,8
V0077,Hatchback,Electric,3
V0078,SUV,Electric,8
V0079,Hatchback,CNG,7
V0080,Hatchback,Petrol,2
V0081,SUV,CNG,6
V0082,Sedan,CNG,8
V0083,SUV,Petrol,2
V0084,Hatchback,CNG,6
V0085,Hatchback,Petrol,4
V0086,Hatchback,Electric,8
V0087,Hatchback,CNG,3
V0088,Sedan,CNG,4
V0089,Hatchback,CNG,2
V0090,Hatchback,Electric,1
V0091,Hatchback,Petrol,3
V0092,Sedan,CNG,8
V0093,Hatchback,CNG,1
V0094,Hatchback,CNG,1
V0095,Sedan,CNG,8
V0096,Sedan,CNG,8
V0097,Hatchback,Petrol,5
V0098,Hatchback,Petrol,1
V0099,SUV,CNG,1
V0100,Hatchback,Electric,8
V0101,SUV,Electric,3
V0102,Hatchback,Electric,2
V0103,Hatchback,Petrol,2
V0104,SUV,Petrol,7
V0105,Hatchback,Electric,4
V0106,SUV,Electric,1
V0107,SUV,Petrol,7
V0108,SUV,Electric,6
V0109,Sedan,Petrol,6
V0110,Hatchback,CNG,7
V0111,Hatchback,Electric,5
V0112,Sedan,CNG,2
V0113,Hatchback,CNG,2
V0114,Hatchback,Electric,4
V0115,SUV,CNG,3
V0116,Sedan,Petrol,4
V0117,Sedan,CNG,3
V0118,Sedan,Electric,5
V0119,SUV,Electric,1
V0120,SUV,Electric,5
V0121,SUV,Petrol,3
V0122,Sedan,Petrol,2
V0123,SUV,Electric,3
V0124,Sedan,CNG,4
V0125,SUV,CNG,4
V0126,SUV,Electric,5
V0127,SUV,CNG,5
V0128,Hatchback,Petrol,7
V0129,Sedan,Petrol,1
V0130,Sedan,Petrol,5
V0131,Hatchback,Electric,8
V0132,SUV,Electric,7
V0133,SUV,Petrol,2
V0134,Hatchback,Electric,3
V0135,SUV,Petrol,6
V0136,SUV,Electric,3
V0137,Sedan,Petrol,1
V0138,Sedan,CNG,1
V0139,Sedan,Petrol,4
V0140,SUV,Petrol,6
V0141,SUV,CNG,3
V0142,Hatchback,Petrol,3
V0143,Sedan,Petrol,3
V0144,SUV,CNG,7
V0145,SUV,Electric,4
V0146,Sedan,Petrol,2
V0147,Sedan,Petrol,8
V0148,Hatchback,Petrol,8
V0149,Sedan,CNG,4
V0150,Hatchback,Petrol,4
V0151,Sedan,CNG,5
V0152,Hatchback,CNG,6
V0153,SUV,Electric,7
V0154,SUV,Electric,6
V0155,Hatchback,Petrol,5
V0156,Hatchback,Electric,5
V0157,Hatchback,Petrol,7
V0158,Sedan,Electric,6
V0159,Sedan,Electric,2
V0160,Sedan,Electric,4
V0161,Sedan,Petrol,7
V0162,Hatchback,Electric,4
V0163,Sedan,CNG,2
V0164,SUV,CNG,6
V0165,SUV,Petrol,5
V0166,SUV,CNG,7
V0167,Sedan,CNG,5
V0168,SUV,Petrol,4
V0169,Sedan,Electric,7
V0170,SUV,Electric,3
V0171,SUV,Electric,5
V0172,Sedan,Electric,1
V0173,Sedan,CNG,4
V0174,Sedan,Electric,6
V0175,Sedan,CNG,8
V0176,SUV,Petrol,8
V0177,SUV,Petrol,2
V0178,Sedan,Electric,6
V0179,Hatchback,Petrol,5
V0180,Hatchback,Petrol,3
V0181,Hatchback,Petrol,4
V0182,Sedan,Electric,2
V0183,Sedan,CNG,4
V0184,SUV,Electric,7
V0185,Sedan,CNG,4
V0186,Hatchback,Electric,1
V0187,Hatchback,CNG,4
V0188,Hatchback,Electric,8
V0189,Hatchback,Electric,4
V0190,Hatchback,CNG,3
V0191,Sedan,Electric,6
V0192,Sedan,Electric,7
V0193,SUV,CNG,3
V0194,SUV,CNG,8
V0195,Sedan,Petrol,5
V0196,SUV,CNG,4
V0197,Sedan,CNG,2
V0198,SUV,CNG,4
V0199,Sedan,CNG,6
V0200,SUV,Petrol,3
V0201,Hatchback,Petrol,7
V0202,SUV,Petrol,4
V0203,Hatchback,CNG,7
V0204,Sedan,Electric,8
V0205,Sedan,Petrol,4
V0206,Sedan,CNG,1
V0207,SUV,CNG,8
