Trip_ID,Date,Pickup_Time,Pickup_Location_ID,Pickup_Location,Drop_Location_ID,Drop_Location,Driver_ID,Vehicle_ID,Trip_Status,Fare,Distance_KM,Duration_Minutes,Payment_Type,Cancellation_Reason
T000001,2026-04-19,07:14:00,L011,Airoli,L003,Powai,D0137,V0073,Completed,204.36,9.21,46,Wallet,
T000002,2026-03-15,14:29:00,L012,Ghansoli,L005,Thane,D0207,V0140,Completed,148.86,5.89,35,Debit Card,
T000003,2026-03-24,17:01:00,L002,Bandra,L004,Kurla,D0295,V0011,Cancelled,0.0,5.48,39,Cash,Driver cancelled
T000004,2026-05-13,17:58:00,L005,Thane,L003,Powai,D0300,V0224,Completed,136.37,5.48,33,Debit Card,
T000005,2026-03-27,11:06:00,L003,Powai,L006,Dadar,D0211,V0254,Completed,263.54,17.37,123,UPI,
T000006,2026-03-22,09:07:00,L007,Borivali,L009,Vashi,D0001,V0278,Completed,212.79,10.93,53,Debit Card,
T000007,2026-06-10,14:03:00,L004,Kurla,L005,Thane,D0282,V0068,Cancelled,0.0,4.54,34,Wallet,Customer cancelled
T000008,2026-02-10,10:00:00,L009,Vashi,L007,Borivali,D0048,V0116,Cancelled,0.0,9.49,71,Cash,Driver cancelled
T000009,2026-03-16,15:17:00,L007,Borivali,L008,Ghatkopar,D0242,V0125,Completed,200.35,7.76,39,Wallet,
T000010,2026-02-04,20:17:00,L007,Borivali,L006,Dadar,D0260,V0137,Completed,68.7,1.0,13,Wallet,
T000011,2026-06-18,15:09:00,L008,Ghatkopar,L009,Vashi,D0248,V0177,Completed,93.64,2.79,27,Credit Card,
T000012,2026-02-18,23:15:00,L010,Nerul,L007,Borivali,D0120,V0211,Completed,172.97,8.15,58,Cash,
T000013,2026-05-07,22:08:00,L009,Vashi,L010,Nerul,D0170,V0052,Completed,365.29,16.35,92,UPI,
T000014,2026-02-06,13:41:00,L003,Powai,L002,Bandra,D0241,V0136,Completed,119.66,5.51,46,Credit Card,
T000015,2026-06-22,20:24:00,L006,Dadar,L011,Airoli,D0250,V0278,Completed,124.44,4.26,31,Credit Card,
T000016,2026-02-28,18:27:00,L002,Bandra,L011,Airoli,D0052,V0228,Completed,137.56,7.08,36,UPI,
T000017,2026-03-17,12:27:00,L003,Powai,L004,Kurla,D0272,V0211,Completed,104.41,4.06,31,Wallet,
T000018,2026-04-08,17:15:00,L008,Ghatkopar,L010,Nerul,D0074,V0119,Completed,140.83,5.24,31,Debit Card,
T000019,2026-03-15,18:10:00,L002,Bandra,L008,Ghatkopar,D0177,V0154,Completed,151.29,6.47,40,Credit Card,
T000020,2026-02-20,23:54:00,L008,Ghatkopar,L002,Bandra,D0122,V0196,Completed,82.51,2.67,23,Debit Card,
T000021,2026-03-12,00:55:00,L011,Airoli,L012,Ghansoli,D0026,V0255,Completed,240.65,11.31,78,Credit Card,
T000022,2026-02-26,17:39:00,L005,Thane,L011,Airoli,D0071,V0050,Cancelled,0.0,2.26,21,UPI,Wrong pickup location
T000023,2026-04-04,18:05:00,L005,Thane,L006,Dadar,D0213,V0090,Completed,82.82,2.02,22,Credit Card,
T000024,2026-02-12,09:52:00,L008,Ghatkopar,L005,Thane,D0174,V0059,Completed,191.99,7.52,36,Debit Card,
T000025,2026-05-23,12:50:00,L007,Borivali,L001,Andheri,D0136,V0275,Completed,201.4,10.74,64,Debit Card,
T000026,2026-06-13,21:06:00,L011,Airoli,L004,Kurla,D0242,V0013,Completed,192.79,7.39,57,Cash,
T000027,2026-06-15,05:52:00,L008,Ghatkopar,L012,Ghansoli,D0155,V0210,Completed,136.61,6.0,27,Debit Card,
T000028,2026-01-30,06:56:00,L009,Vashi,L003,Powai,D0199,V0233,Completed,129.84,5.2,46,Cash,
T000029,2026-04-17,18:53:00,L008,Ghatkopar,L010,Nerul,D0209,V0144,Completed,121.1,4.57,33,Cash,
T000030,2026-04-03,06:43:00,L006,Dadar,L009,Vashi,D0184,V0032,Completed,304.7,13.0,59,Debit Card,
T000031,2026-01-24,18:41:00,L011,Airoli,L010,Nerul,D0011,V0026,Completed,200.21,8.21,42,Cash,
T000032,2026-01-18,19:35:00,L004,Kurla,L010,Nerul,D0111,V0120,Completed,108.43,4.86,33,Cash,
T000033,2026-02-03,16:51:00,L003,Powai,L002,Bandra,D0014,V0068,Completed,113.5,3.8,30,UPI,
T000034,2026-02-14,09:08:00,L012,Ghansoli,L007,Borivali,D0270,V0059,Completed,209.77,9.92,59,UPI,
T000035,2026-04-26,15:39:00,L001,Andheri,L012,Ghansoli,D0267,V0155,Completed,306.06,12.81,87,Debit Card,
T000036,2026-04-20,18:31:00,L012,Ghansoli,L008,Ghatkopar,D0038,V0042,Completed,221.54,12.08,55,Wallet,
T000037,2026-05-21,18:24:00,L010,Nerul,L009,Vashi,D0151,V0233,Completed,111.93,3.29,22,Wallet,
T000038,2026-02-25,13:56:00,L004,Kurla,L007,Borivali,D0174,V0233,Completed,129.54,5.16,39,Credit Card,
T000039,2026-04-06,22:43:00,L008,Ghatkopar,L002,Bandra,D0047,V0044,Completed,133.22,4.5,27,Wallet,
T000040,2026-01-16,17:35:00,L009,Vashi,L006,Dadar,D0063,V0211,Completed,157.8,5.69,42,UPI,
T000041,2026-03-15,17:22:00,L002,Bandra,L010,Nerul,D0260,V0109,Completed,216.36,11.24,62,Wallet,
T000042,2026-04-05,07:17:00,L010,Nerul,L004,Kurla,D0220,V0288,Cancelled,0.0,15.4,106,Wallet,Driver unavailable
T000043,2026-06-05,21:53:00,L012,Ghansoli,L005,Thane,D0015,V0093,Completed,174.68,8.42,59,Cash,
T000044,2026-02-06,16:25:00,L002,Bandra,L003,Powai,D0016,V0047,Completed,111.11,3.91,27,Cash,
T000045,2026-04-05,10:20:00,L010,Nerul,L002,Bandra,D0027,V0080,Completed,130.47,6.36,49,Debit Card,
T000046,2026-06-19,13:38:00,L008,Ghatkopar,L007,Borivali,D0140,V0111,Completed,272.05,17.23,77,Wallet,
T000047,2026-05-05,16:19:00,L001,Andheri,L004,Kurla,D0203,V0029,Completed,176.25,6.96,39,Credit Card,
T000048,2026-03-16,11:00:00,L008,Ghatkopar,L012,Ghansoli,D0221,V0090,Completed,133.37,5.21,35,Credit Card,
T000049,2026-01-19,13:47:00,L001,Andheri,L007,Borivali,D0010,V0236,Cancelled,0.0,5.54,48,Debit Card,Driver cancelled
T000050,2026-03-16,07:01:00,L006,Dadar,L003,Powai,D0236,V0186,Completed,179.92,8.39,59,Debit Card,
T000051,2026-05-15,06:55:00,L005,Thane,L012,Ghansoli,D0174,V0114,Completed,107.68,3.38,27,Wallet,
T000052,2026-05-11,08:49:00,L006,Dadar,L012,Ghansoli,D0076,V0121,Completed,124.34,4.42,26,UPI,
T000053,2026-02-15,21:40:00,L008,Ghatkopar,L010,Nerul,D0297,V0230,Completed,254.31,11.96,89,Wallet,
T000054,2026-03-24,20:40:00,L006,Dadar,L003,Powai,D0226,V0035,Completed,187.7,8.23,53,Credit Card,
T000055,2026-05-10,06:29:00,L008,Ghatkopar,L001,Andheri,D0030,V0189,Completed,168.61,7.01,32,Wallet,
T000056,2026-04-09,14:35:00,L012,Ghansoli,L001,Andheri,D0231,V0293,Completed,247.74,12.35,67,UPI,
T000057,2026-04-26,06:57:00,L006,Dadar,L012,Ghansoli,D0044,V0259,Completed,124.13,3.72,25,Wallet,
T000058,2026-05-14,17:23:00,L006,Dadar,L005,Thane,D0199,V0210,Completed,143.22,5.09,33,Credit Card,
T000059,2026-01-17,11:35:00,L011,Airoli,L007,Borivali,D0146,V0130,Completed,202.84,8.05,58,Credit Card,
T000060,2026-01-21,17:09:00,L006,Dadar,L005,Thane,D0201,V0067,Completed,179.47,7.86,59,Credit Card,
T000061,2026-02-02,18:53:00,L012,Ghansoli,L011,Airoli,D0270,V0048,Completed,72.23,1.83,19,Credit Card,
T000062,2026-02-16,21:21:00,L008,Ghatkopar,L004,Kurla,D0116,V0071,Completed,125.81,4.72,27,Wallet,
T000063,2026-05-15,03:21:00,L010,Nerul,L003,Powai,D0193,V0079,Completed,156.95,5.79,49,Cash,
T000064,2026-04-23,04:23:00,L011,Airoli,L012,Ghansoli,D0122,V0228,Completed,170.13,8.66,62,Cash,
